分类: 📡卫视频道, 名称: 山东卫视4K, 有效: 3, IPv4: 18, IPv6: 0, 最小延迟: 209 ms, 最高速率: 3.08 M/s, 平均速率: 1.97 M/s, 最高分辨率: 3840x2160, 平均帧率: 45.83, 视频编解码器: hevc, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河南卫视, 有效: 6, IPv4: 493, IPv6: 0, 最小延迟: 71 ms, 最高速率: 8.77 M/s, 平均速率: 4.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 6, IPv4: 537, IPv6: 0, 最小延迟: 166 ms, 最高速率: 8.52 M/s, 平均速率: 2.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 595, IPv6: 0, 最小延迟: 174 ms, 最高速率: 2.98 M/s, 平均速率: 1.58 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: hevc, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 572, IPv6: 0, 最小延迟: 408 ms, 最高速率: 8.87 M/s, 平均速率: 4.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 416, IPv6: 0, 最小延迟: 450 ms, 最高速率: 8.48 M/s, 平均速率: 7.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp3
分类: 📡卫视频道, 名称: 广东卫视4K, 有效: 5, IPv4: 26, IPv6: 0, 最小延迟: 202 ms, 最高速率: 6.88 M/s, 平均速率: 2.07 M/s, 最高分辨率: 3840x2160, 平均帧率: 41.25, 视频编解码器: hevc, 音频编解码器: aac
分类: 📡卫视频道, 名称: 海南卫视, 有效: 6, IPv4: 355, IPv6: 0, 最小延迟: 223 ms, 最高速率: 9.23 M/s, 平均速率: 3.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 463, IPv6: 0, 最小延迟: 487 ms, 最高速率: 7.83 M/s, 平均速率: 5.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 497, IPv6: 0, 最小延迟: 448 ms, 最高速率: 8.64 M/s, 平均速率: 3.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 413, IPv6: 0, 最小延迟: 427 ms, 最高速率: 8.99 M/s, 平均速率: 6.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 云南卫视, 有效: 5, IPv4: 348, IPv6: 0, 最小延迟: 466 ms, 最高速率: 9.47 M/s, 平均速率: 6.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 6, IPv4: 261, IPv6: 0, 最小延迟: 200 ms, 最高速率: 2.43 M/s, 平均速率: 1.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 181, IPv6: 0, 最小延迟: 409 ms, 最高速率: 9.29 M/s, 平均速率: 6.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.78, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 329, IPv6: 0, 最小延迟: 464 ms, 最高速率: 9.85 M/s, 平均速率: 9.24 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 266, IPv6: 0, 最小延迟: 188 ms, 最高速率: 4.84 M/s, 平均速率: 2.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 5, IPv4: 230, IPv6: 0, 最小延迟: 206 ms, 最高速率: 9.04 M/s, 平均速率: 3.65 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 6, IPv4: 499, IPv6: 0, 最小延迟: 407 ms, 最高速率: 9.99 M/s, 平均速率: 2.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: mpeg2video, 音频编解码器: ac3
分类: 📡卫视频道, 名称: 厦门卫视, 有效: 6, IPv4: 98, IPv6: 0, 最小延迟: 148 ms, 最高速率: 9.98 M/s, 平均速率: 6.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 深圳卫视4K, 有效: 5, IPv4: 22, IPv6: 0, 最小延迟: 108 ms, 最高速率: 21.97 M/s, 平均速率: 14.34 M/s, 最高分辨率: 3840x2160, 平均帧率: 50.00, 视频编解码器: hevc, 音频编解码器: ac3
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 5, IPv4: 151, IPv6: 0, 最小延迟: 116 ms, 最高速率: 15.93 M/s, 平均速率: 9.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 大湾区卫视, 有效: 3, IPv4: 91, IPv6: 0, 最小延迟: 53 ms, 最高速率: 15.92 M/s, 平均速率: 8.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.18, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山东教育卫视, 有效: 2, IPv4: 55, IPv6: 0, 最小延迟: 225 ms, 最高速率: 8.24 M/s, 平均速率: 4.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海峡卫视, 有效: 5, IPv4: 46, IPv6: 0, 最小延迟: 207 ms, 最高速率: 4.26 M/s, 平均速率: 1.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.97, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 延边卫视, 有效: 4, IPv4: 53, IPv6: 0, 最小延迟: 134 ms, 最高速率: 4.49 M/s, 平均速率: 2.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 康巴卫视, 有效: 4, IPv4: 45, IPv6: 0, 最小延迟: 72 ms, 最高速率: 1.88 M/s, 平均速率: 0.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.83, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 兵团卫视, 有效: 5, IPv4: 209, IPv6: 0, 最小延迟: 114 ms, 最高速率: 21.64 M/s, 平均速率: 8.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
